
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
1956.01,-530.424,1312.19,µm,Spot,Position,1,49795,
2170.05,-512.864,1282,µm,Spot,Position,1,49800,
2120.14,-498.638,1282,µm,Spot,Position,1,49801,
2171.72,-416.296,1282,µm,Spot,Position,1,49805,
2176.84,-455.37,1304.1,µm,Spot,Position,1,49808,
2173.25,-422.058,1330.04,µm,Spot,Position,1,49814,
2205.28,-512.783,1282,µm,Spot,Position,1,49816,
2227.89,-501.721,1282,µm,Spot,Position,1,49817,
2252.96,-424.329,1282,µm,Spot,Position,1,49821,
2221.37,-530.424,1299.32,µm,Spot,Position,1,49822,
2199.68,-473.36,1318.6,µm,Spot,Position,1,49826,
2275.09,-436.255,1322.42,µm,Spot,Position,1,49827,
2178.02,-455.611,1331.45,µm,Spot,Position,1,49830,
1404.56,-355.139,1282,µm,Spot,Position,1,49863,
2137.22,-371.037,1299.43,µm,Spot,Position,1,49933,
2211.74,-371.008,1282,µm,Spot,Position,1,49936,
2213,-390.839,1324.58,µm,Spot,Position,1,49939,
2211.69,-348.25,1324.52,µm,Spot,Position,1,49940,
2298.36,-377.312,1282,µm,Spot,Position,1,49942,
1891.83,-62.0063,1332.71,µm,Spot,Position,1,50116,
2339.31,-58.499,1282,µm,Spot,Position,1,50154,
1692.46,-44.379,1282,µm,Spot,Position,1,50197,
2186.34,-0.342447,1310.44,µm,Spot,Position,1,50246,
2352.63,-40.7383,1292.77,µm,Spot,Position,1,50253,
2341.45,72.545,1339.74,µm,Spot,Position,1,50258,
2061.28,138.757,1282,µm,Spot,Position,1,50314,
2174.67,179.529,1293.45,µm,Spot,Position,1,50315,
2153.51,168.033,1315.26,µm,Spot,Position,1,50317,
2140.38,164.19,1334.68,µm,Spot,Position,1,50318,
2341.08,186.115,1321.71,µm,Spot,Position,1,50324,
2330.9,109.323,1330.75,µm,Spot,Position,1,50325,
2367.53,149.863,1334.05,µm,Spot,Position,1,50326,
2221.69,257.707,1282,µm,Spot,Position,1,50361,
2203.98,219.324,1289.67,µm,Spot,Position,1,50362,
2325.61,195.229,1324.74,µm,Spot,Position,1,50365,
2345.65,199.064,1324.43,µm,Spot,Position,1,50366,
2130.35,409.61,1282,µm,Spot,Position,1,50402,
2098.8,435.411,1322.34,µm,Spot,Position,1,50404,
2128.45,414.235,1334.39,µm,Spot,Position,1,50405,
2219.26,326.689,1282,µm,Spot,Position,1,50406,
2187.86,373.84,1282,µm,Spot,Position,1,50407,
2185.26,374.986,1298.02,µm,Spot,Position,1,50409,
1933.15,507.038,1323.03,µm,Spot,Position,1,50437,
2040.17,467.219,1282,µm,Spot,Position,1,50438,
1998.59,488.15,1282,µm,Spot,Position,1,50439,
1403.35,659.822,1282,µm,Spot,Position,1,50446,
1418.86,659.822,1282,µm,Spot,Position,1,50447,
1362.65,659.822,1327.6,µm,Spot,Position,1,50448,
1584.43,626.781,1305.52,µm,Spot,Position,1,50450,
1726.04,-496.518,1385.6,µm,Spot,Position,1,50471,
2173.59,-492.445,1347,µm,Spot,Position,1,50496,
2086.09,-530.424,1359.23,µm,Spot,Position,1,50497,
2292.61,-462.727,1352.38,µm,Spot,Position,1,50510,
2206.83,-513.754,1359.61,µm,Spot,Position,1,50511,
2194.93,-508.779,1362.72,µm,Spot,Position,1,50512,
2248.24,-467.508,1368.43,µm,Spot,Position,1,50514,
2283.37,-476.811,1373.52,µm,Spot,Position,1,50516,
2224.55,-485.276,1399.48,µm,Spot,Position,1,50522,
2192.9,-497.943,1400.3,µm,Spot,Position,1,50524,
2337.81,-416.308,1377.73,µm,Spot,Position,1,50532,
1486.1,-364.06,1362.28,µm,Spot,Position,1,50549,
2217.21,-359.241,1385.36,µm,Spot,Position,1,50612,
1873.49,-87.8645,1346.88,µm,Spot,Position,1,50746,
1931.97,-61.4581,1350.65,µm,Spot,Position,1,50747,
1834.25,-61.475,1360.25,µm,Spot,Position,1,50748,
1919.31,-91.517,1373.27,µm,Spot,Position,1,50749,
1958.01,-83.5226,1369.93,µm,Spot,Position,1,50758,
1955.66,-55.3551,1397.17,µm,Spot,Position,1,50760,
1960.83,-135.593,1407.2,µm,Spot,Position,1,50761,
2050.94,-123.913,1404.4,µm,Spot,Position,1,50762,
2010.67,-23.7176,1360.75,µm,Spot,Position,1,50834,
2005.82,-17.5356,1377.16,µm,Spot,Position,1,50835,
2035.17,-16.7701,1394.06,µm,Spot,Position,1,50836,
2140.38,6.79116,1398.07,µm,Spot,Position,1,50842,
2281.77,60.2967,1365.43,µm,Spot,Position,1,50844,
2243.27,34.0995,1374.13,µm,Spot,Position,1,50846,
2181.98,13.9233,1387.25,µm,Spot,Position,1,50847,
2055.22,130.638,1350.27,µm,Spot,Position,1,50884,
2125.16,161.386,1349.62,µm,Spot,Position,1,50888,
2080.62,155.163,1394.39,µm,Spot,Position,1,50889,
2287.64,93.7359,1398.76,µm,Spot,Position,1,50892,
2314.66,90.2273,1385.64,µm,Spot,Position,1,50893,
1837.12,231.832,1366.95,µm,Spot,Position,1,50925,
2154,200.219,1349.63,µm,Spot,Position,1,50939,
2172.06,289.538,1378.4,µm,Spot,Position,1,50941,
2153.31,257.047,1386.69,µm,Spot,Position,1,50942,
2059.98,297.741,1385.1,µm,Spot,Position,1,50943,
2134.02,256.746,1393.29,µm,Spot,Position,1,50944,
2126.52,220.828,1405.99,µm,Spot,Position,1,50945,
2168.01,383.829,1344.07,µm,Spot,Position,1,50980,
2085.97,427.339,1370.81,µm,Spot,Position,1,50983,
2121.13,419.162,1379.1,µm,Spot,Position,1,50984,
2087.83,392.591,1402.8,µm,Spot,Position,1,50985,
1965.02,486.361,1393.85,µm,Spot,Position,1,51007,
1338.39,659.822,1348.5,µm,Spot,Position,1,51014,
1392.71,645.188,1381.99,µm,Spot,Position,1,51016,
1621.6,610.635,1364.63,µm,Spot,Position,1,51017,
1673.89,563.172,1372.91,µm,Spot,Position,1,51018,
1676.64,587.198,1373.35,µm,Spot,Position,1,51019,
1762.51,604.57,1361.52,µm,Spot,Position,1,51020,
1733.31,-530.424,1422.55,µm,Spot,Position,1,51030,
2268.91,-453.112,1409.6,µm,Spot,Position,1,51069,
2296.05,-423.934,1414.84,µm,Spot,Position,1,51070,
2298.07,-495.152,1425.52,µm,Spot,Position,1,51072,
2234.68,-530.424,1445.89,µm,Spot,Position,1,51076,
2305.87,-443.699,1409.13,µm,Spot,Position,1,51085,
2304.96,-471.468,1429.46,µm,Spot,Position,1,51088,
2321.09,-445.424,1437.84,µm,Spot,Position,1,51091,
1534.63,-398.75,1451.13,µm,Spot,Position,1,51119,
2231.47,-369.558,1417.58,µm,Spot,Position,1,51176,
2284.83,-328.605,1449.06,µm,Spot,Position,1,51184,
2322.03,-403.129,1437.79,µm,Spot,Position,1,51185,
2319.34,-378.585,1441.83,µm,Spot,Position,1,51186,
2330.09,-407.547,1444.96,µm,Spot,Position,1,51187,
2349.97,-377.222,1462.29,µm,Spot,Position,1,51188,
1954.69,-124.189,1414.72,µm,Spot,Position,1,51296,
2005.6,-145.688,1424.9,µm,Spot,Position,1,51297,
2077.63,-67.8694,1459.91,µm,Spot,Position,1,51303,
2098.3,6.05269,1408.83,µm,Spot,Position,1,51357,
2069.87,6.87325,1417.02,µm,Spot,Position,1,51358,
2173.85,-1.77714,1466.83,µm,Spot,Position,1,51359,
2233.91,57.3215,1422.97,µm,Spot,Position,1,51360,
2262.29,-16.737,1431.05,µm,Spot,Position,1,51361,
1998.47,141.954,1434.12,µm,Spot,Position,1,51396,
2052.04,191.05,1457.74,µm,Spot,Position,1,51397,
2343.62,97.7978,1432.46,µm,Spot,Position,1,51407,
2115.73,227.44,1441.77,µm,Spot,Position,1,51440,
2126.04,296.231,1458.31,µm,Spot,Position,1,51441,
1984.11,343.709,1431.16,µm,Spot,Position,1,51478,
2067.26,423.732,1429.71,µm,Spot,Position,1,51479,
2138.94,387.676,1437.23,µm,Spot,Position,1,51480,
2124.71,400.103,1456.9,µm,Spot,Position,1,51481,
