
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
1730.57,-501.807,1389.1,µm,Spot,Position,1,0,
1722.71,-493.381,1425.18,µm,Spot,Position,1,1,
2216,-514.329,1356.39,µm,Spot,Position,1,2,
2197.95,-513.95,1360.71,µm,Spot,Position,1,3,
2198.03,-512.194,1368.92,µm,Spot,Position,1,4,
2201,-500.142,1374.37,µm,Spot,Position,1,5,
2219.05,-515.561,1377.43,µm,Spot,Position,1,6,
2198.76,-501.363,1394.72,µm,Spot,Position,1,7,
1571.21,-435.212,1524.1,µm,Spot,Position,1,8,
2199.59,-482.709,1357.57,µm,Spot,Position,1,9,
1314.28,-408.457,1301.84,µm,Spot,Position,1,10,
1320.5,-396.294,1302.99,µm,Spot,Position,1,11,
1303.54,-402.883,1319.36,µm,Spot,Position,1,12,
1313.32,-408.991,1321.16,µm,Spot,Position,1,13,
1512.74,-379.561,1397.82,µm,Spot,Position,1,14,
1519.79,-385.419,1420.87,µm,Spot,Position,1,15,
1529.71,-396.964,1426.81,µm,Spot,Position,1,16,
1529.5,-393.117,1436.93,µm,Spot,Position,1,17,
1538.66,-404.268,1449.34,µm,Spot,Position,1,18,
1541.41,-408.298,1457.52,µm,Spot,Position,1,19,
1559.63,-425.141,1502.64,µm,Spot,Position,1,20,
1562.45,-425.996,1509.44,µm,Spot,Position,1,21,
2145.14,-374.059,1301.59,µm,Spot,Position,1,22,
2302.19,-403.465,1491.98,µm,Spot,Position,1,23,
2304.46,-390.099,1499.06,µm,Spot,Position,1,24,
1728.62,-328.979,1322.79,µm,Spot,Position,1,25,
2155.47,-350.659,1317.18,µm,Spot,Position,1,26,
2142.52,-326.683,1361.4,µm,Spot,Position,1,27,
2007.23,-203.295,1398.31,µm,Spot,Position,1,28,
1087.95,-156.462,1403.47,µm,Spot,Position,1,29,
2023.52,-151.479,1366.84,µm,Spot,Position,1,30,
2017.54,-150.218,1426,µm,Spot,Position,1,31,
1994.7,-134.014,1427.42,µm,Spot,Position,1,32,
2000.1,-140.765,1433.26,µm,Spot,Position,1,33,
1868.89,-107.722,1400.62,µm,Spot,Position,1,34,
1872.4,-91.945,1409.35,µm,Spot,Position,1,35,
1963.15,-83.6981,1348.86,µm,Spot,Position,1,36,
1962.49,-79.9962,1364.93,µm,Spot,Position,1,37,
1935.6,-79.2508,1365.97,µm,Spot,Position,1,38,
1959.21,-112.145,1386.35,µm,Spot,Position,1,39,
1953.33,-52.4479,1391.47,µm,Spot,Position,1,40,
1952.91,-45.7944,1398.15,µm,Spot,Position,1,41,
1965.19,-38.6789,1402.25,µm,Spot,Position,1,42,
2014.51,-27.2538,1362.09,µm,Spot,Position,1,43,
2049.78,-4.61009,1406.73,µm,Spot,Position,1,44,
2060.65,111.761,1378.26,µm,Spot,Position,1,45,
1978.12,150.015,1474.86,µm,Spot,Position,1,46,
1973.24,130.328,1486.58,µm,Spot,Position,1,47,
1967.35,156.842,1493.39,µm,Spot,Position,1,48,
2034.13,136.924,1397.56,µm,Spot,Position,1,49,
2004.92,139.169,1432.92,µm,Spot,Position,1,50,
1994.64,144.333,1445.62,µm,Spot,Position,1,51,
2058.2,130.528,1354.24,µm,Spot,Position,1,52,
1985.44,345.463,1448.98,µm,Spot,Position,1,53,
2090.13,388.876,1408.44,µm,Spot,Position,1,54,
2055.82,420.6,1280.73,µm,Spot,Position,1,55,
1559.25,575.365,1341.62,µm,Spot,Position,1,56,
1854.6,572.565,1404.63,µm,Spot,Position,1,57,
1845.91,572.432,1410.14,µm,Spot,Position,1,58,
1374.71,616.113,1475.41,µm,Spot,Position,1,59,
1607.72,654.276,1316.37,µm,Spot,Position,1,60,
1762.51,605.138,1354.13,µm,Spot,Position,1,61,
1600.9,659.5,1338.44,µm,Spot,Position,1,62,
2285.2,-525.964,1725.18,µm,Spot,Position,1,63,
2282.12,-512.447,1729.86,µm,Spot,Position,1,64,
2282.06,-502.97,1733.76,µm,Spot,Position,1,65,
1578.31,-444.639,1546.51,µm,Spot,Position,1,66,
1586.48,-450.654,1562.67,µm,Spot,Position,1,67,
1603.85,-449.056,1582.52,µm,Spot,Position,1,68,
1609.15,-441.393,1613.76,µm,Spot,Position,1,69,
1607.77,-432.694,1621.93,µm,Spot,Position,1,70,
1634.07,-454.766,1544.06,µm,Spot,Position,1,71,
1682.31,-431.966,1594.53,µm,Spot,Position,1,72,
1666.93,-429.694,1605.03,µm,Spot,Position,1,73,
1697.01,-440.684,1590.8,µm,Spot,Position,1,74,
1707.71,-440.839,1591.08,µm,Spot,Position,1,75,
1690.05,-438.163,1591.17,µm,Spot,Position,1,76,
1730.83,-441.304,1594.3,µm,Spot,Position,1,77,
1739.96,-432.938,1592.77,µm,Spot,Position,1,78,
1741.96,-445.206,1605.77,µm,Spot,Position,1,79,
1772.48,-446.429,1570.25,µm,Spot,Position,1,80,
1766.84,-442.001,1574.52,µm,Spot,Position,1,81,
2274.37,-477.835,1733.48,µm,Spot,Position,1,82,
2259.15,-482.561,1741.91,µm,Spot,Position,1,83,
1556.52,-405.377,1713.11,µm,Spot,Position,1,84,
1551.83,-401.306,1726.59,µm,Spot,Position,1,85,
1515.98,-394.803,1781.84,µm,Spot,Position,1,86,
1641.86,-405.058,1625.06,µm,Spot,Position,1,87,
1637.87,-398.387,1630.67,µm,Spot,Position,1,88,
1624.66,-386.165,1653.89,µm,Spot,Position,1,89,
1805.75,-418.842,1581.69,µm,Spot,Position,1,90,
1816.54,-418.545,1581.34,µm,Spot,Position,1,91,
1837.07,-406.074,1581.81,µm,Spot,Position,1,92,
2277.14,-368.593,1681.24,µm,Spot,Position,1,93,
2271.09,-398.9,1726.67,µm,Spot,Position,1,94,
2307.98,-368.56,1654.09,µm,Spot,Position,1,95,
2331.5,-381.762,1679.68,µm,Spot,Position,1,96,
2298.05,-369.007,1693.91,µm,Spot,Position,1,97,
2330.14,-382.08,1698.02,µm,Spot,Position,1,98,
