
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
1810.33,-530.424,1331.08,µm,Spot,Position,1,0,
1800.18,-527.491,1343.99,µm,Spot,Position,1,1,
1828.69,-524.135,1282,µm,Spot,Position,1,2,
1821.06,-530.424,1310.27,µm,Spot,Position,1,3,
2177.21,-416.242,1282,µm,Spot,Position,1,4,
2176.19,-518.568,1288.28,µm,Spot,Position,1,5,
2168.09,-420.785,1304.83,µm,Spot,Position,1,6,
2101.8,-530.424,1325.65,µm,Spot,Position,1,7,
2175.53,-425.243,1333.1,µm,Spot,Position,1,8,
2179.87,-430.828,1282,µm,Spot,Position,1,9,
2235.42,-496.535,1299.49,µm,Spot,Position,1,10,
2179.62,-518.893,1313.56,µm,Spot,Position,1,11,
2182.77,-459.522,1328.59,µm,Spot,Position,1,12,
2227.26,-503.975,1334.14,µm,Spot,Position,1,13,
2245.58,-495.083,1339.16,µm,Spot,Position,1,14,
1710.9,-317.998,1336.54,µm,Spot,Position,1,15,
2140.03,-368.488,1338.13,µm,Spot,Position,1,16,
2161.52,-357.729,1341.74,µm,Spot,Position,1,17,
2214.55,-348.979,1327.52,µm,Spot,Position,1,18,
1902.94,-278.748,1282,µm,Spot,Position,1,19,
1927.48,-276.365,1284.57,µm,Spot,Position,1,20,
1926.88,-66.9585,1319.24,µm,Spot,Position,1,21,
1880.24,-93.2627,1323.76,µm,Spot,Position,1,22,
1920.94,-68.505,1337.36,µm,Spot,Position,1,23,
1923.88,-49.8306,1339.28,µm,Spot,Position,1,24,
2038.88,-67.0514,1319.15,µm,Spot,Position,1,25,
2033.61,-167.809,1331.79,µm,Spot,Position,1,26,
2053.99,-86.3051,1331.71,µm,Spot,Position,1,27,
2033.3,-104.642,1335.19,µm,Spot,Position,1,28,
1966.77,-59.7463,1333.99,µm,Spot,Position,1,29,
1949.65,-114.009,1343.49,µm,Spot,Position,1,30,
2096.54,-58.064,1301.5,µm,Spot,Position,1,31,
2118.26,-127.415,1331.03,µm,Spot,Position,1,32,
2090.32,-68.8777,1334.34,µm,Spot,Position,1,33,
1864.69,-33.3485,1310.89,µm,Spot,Position,1,34,
1821.77,-33.014,1319.87,µm,Spot,Position,1,35,
1821.03,-33.7599,1328.7,µm,Spot,Position,1,36,
1871.19,-16.0687,1330.69,µm,Spot,Position,1,37,
2022.69,-25.0014,1326.01,µm,Spot,Position,1,38,
2137.49,55.5839,1304.85,µm,Spot,Position,1,39,
2126.31,-8.87541,1312.14,µm,Spot,Position,1,40,
2076.76,25.7765,1325.69,µm,Spot,Position,1,41,
2130.95,-13.6495,1329.02,µm,Spot,Position,1,42,
2159.91,-9.32401,1339.61,µm,Spot,Position,1,43,
2053.66,134.785,1329.28,µm,Spot,Position,1,44,
2072.24,142.177,1282,µm,Spot,Position,1,45,
2146.75,193.371,1282,µm,Spot,Position,1,46,
2108.03,145.438,1293.49,µm,Spot,Position,1,47,
2133.6,186.548,1302.45,µm,Spot,Position,1,48,
2127.28,186.731,1314.25,µm,Spot,Position,1,49,
2097.4,146.064,1333.21,µm,Spot,Position,1,50,
1656.71,203.541,1311.81,µm,Spot,Position,1,51,
2165.39,224.154,1292.07,µm,Spot,Position,1,52,
2158,234.02,1314.61,µm,Spot,Position,1,53,
2165.24,270.244,1326.61,µm,Spot,Position,1,54,
2178.92,314.756,1290.62,µm,Spot,Position,1,55,
2045.49,430.169,1317.2,µm,Spot,Position,1,56,
2131.34,372.853,1317.81,µm,Spot,Position,1,57,
2165.86,423.962,1341.92,µm,Spot,Position,1,58,
2254.29,323.393,1282,µm,Spot,Position,1,59,
2226.35,369.498,1310.51,µm,Spot,Position,1,60,
1771.91,526.982,1335.05,µm,Spot,Position,1,61,
1700.88,547.098,1341.85,µm,Spot,Position,1,62,
1881.1,554.663,1282,µm,Spot,Position,1,63,
1925.82,479.49,1300.56,µm,Spot,Position,1,64,
1877.73,554.084,1337.91,µm,Spot,Position,1,65,
1890.1,550.364,1340.87,µm,Spot,Position,1,66,
2018.78,441.457,1290.62,µm,Spot,Position,1,67,
1940.22,473.675,1298.3,µm,Spot,Position,1,68,
1982.58,455.155,1313.4,µm,Spot,Position,1,69,
1975.67,455.713,1339.11,µm,Spot,Position,1,70,
2106.8,467.894,1282,µm,Spot,Position,1,71,
1252.11,659.822,1336.93,µm,Spot,Position,1,72,
1527.46,587.637,1282,µm,Spot,Position,1,73,
1495.85,595.768,1282,µm,Spot,Position,1,74,
1480.44,602.744,1287.04,µm,Spot,Position,1,75,
1487.66,600.905,1292.93,µm,Spot,Position,1,76,
1584.36,581.4,1294.43,µm,Spot,Position,1,77,
1634.14,569.108,1317.22,µm,Spot,Position,1,78,
1647.53,566.928,1321.55,µm,Spot,Position,1,79,
2177.85,-497.951,1353.34,µm,Spot,Position,1,80,
2231.51,-490.428,1371.24,µm,Spot,Position,1,81,
2275.62,-482.874,1393.37,µm,Spot,Position,1,82,
2153.97,-371.131,1346.14,µm,Spot,Position,1,83,
2149.46,-340.671,1347.68,µm,Spot,Position,1,84,
2137.18,-353.848,1375.1,µm,Spot,Position,1,85,
2149.18,-364.627,1378.96,µm,Spot,Position,1,86,
2146.15,-342.258,1395.01,µm,Spot,Position,1,87,
2152.81,-322.071,1405.87,µm,Spot,Position,1,88,
2025.82,-182.271,1363.05,µm,Spot,Position,1,89,
2013.05,-178.575,1387.1,µm,Spot,Position,1,90,
2024.95,-176.086,1394.94,µm,Spot,Position,1,91,
1835.44,-61.1272,1347.62,µm,Spot,Position,1,92,
1907.65,-93.6142,1351.78,µm,Spot,Position,1,93,
1866.2,-68.6181,1354.85,µm,Spot,Position,1,94,
1857.83,-55.6675,1354.11,µm,Spot,Position,1,95,
1897.28,-103.734,1371.63,µm,Spot,Position,1,96,
1928.55,-146.858,1374.12,µm,Spot,Position,1,97,
1889.13,-92.7147,1379.52,µm,Spot,Position,1,98,
1837.71,-66.373,1377.84,µm,Spot,Position,1,99,
1885.29,-57.0023,1378.62,µm,Spot,Position,1,100,
1930.02,-136.767,1382.7,µm,Spot,Position,1,101,
1899.13,-90.3484,1385.01,µm,Spot,Position,1,102,
1851.79,-84.8173,1384.85,µm,Spot,Position,1,103,
