
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
1310.59,-410.597,1308.86,µm,Spot,Position,1,45212,
1294.69,-423.849,1315.96,µm,Spot,Position,1,45218,
1713.01,-506.566,1310.83,µm,Spot,Position,1,45535,
2175.21,-426.393,1334.96,µm,Spot,Position,1,45648,
2218.25,-476.772,1285.72,µm,Spot,Position,1,45658,
2294.02,-470.5,1286.09,µm,Spot,Position,1,45659,
2211.51,-530.424,1301.83,µm,Spot,Position,1,45662,
2223.2,-479.547,1308.52,µm,Spot,Position,1,45665,
2286.05,-502.613,1312.97,µm,Spot,Position,1,45668,
2254.49,-520.256,1328.63,µm,Spot,Position,1,45675,
2226.72,-517.189,1340.94,µm,Spot,Position,1,45676,
1321.77,-399.299,1301.9,µm,Spot,Position,1,45732,
1355.05,-392.815,1282,µm,Spot,Position,1,45749,
1406.73,-358.017,1282,µm,Spot,Position,1,45752,
1347.82,-401.745,1289.98,µm,Spot,Position,1,45758,
1445.77,-357.603,1293.7,µm,Spot,Position,1,45759,
1452.58,-362.63,1305.64,µm,Spot,Position,1,45795,
1468.22,-365.448,1326.16,µm,Spot,Position,1,45803,
1429.29,-243.677,1341.66,µm,Spot,Position,1,46050,
1907.44,-70.6537,1338.55,µm,Spot,Position,1,46342,
1893.42,-55.275,1339.81,µm,Spot,Position,1,46343,
1876.47,-86.7634,1342.58,µm,Spot,Position,1,46344,
1923.88,-63.0639,1342.58,µm,Spot,Position,1,46345,
1838.43,-54.7864,1341.61,µm,Spot,Position,1,46346,
1848.11,-51.8939,1341.74,µm,Spot,Position,1,46347,
1893.39,-34.0544,1322.31,µm,Spot,Position,1,46563,
1891.83,-45.9409,1330.54,µm,Spot,Position,1,46564,
1863.72,-30.3565,1335.52,µm,Spot,Position,1,46565,
2131.44,-25.3222,1339.1,µm,Spot,Position,1,46588,
2252.55,1.72097,1282,µm,Spot,Position,1,46593,
2187.09,1.41311,1299.37,µm,Spot,Position,1,46596,
2259.21,49.0056,1301.97,µm,Spot,Position,1,46597,
2237.05,35.5187,1307.56,µm,Spot,Position,1,46599,
2196.44,-31.5068,1326.39,µm,Spot,Position,1,46600,
2367.53,54.8497,1324.47,µm,Spot,Position,1,46605,
2346.52,-18.9557,1331.16,µm,Spot,Position,1,46606,
2051.46,134.713,1342.59,µm,Spot,Position,1,46769,
2133.1,123.263,1308.06,µm,Spot,Position,1,46776,
2215.01,138.945,1303.27,µm,Spot,Position,1,46791,
2312.88,145.277,1285.9,µm,Spot,Position,1,46796,
2367.53,77.4333,1325.93,µm,Spot,Position,1,46798,
2324.3,130.125,1332.14,µm,Spot,Position,1,46799,
2300.46,157.76,1332.74,µm,Spot,Position,1,46800,
1150.77,253.366,1341.47,µm,Spot,Position,1,46819,
2087.29,200.359,1282,µm,Spot,Position,1,46953,
2091.26,247.918,1282,µm,Spot,Position,1,46954,
2087.88,267.373,1320.58,µm,Spot,Position,1,46962,
2045.37,424.742,1282,µm,Spot,Position,1,47142,
2057.33,421.283,1282,µm,Spot,Position,1,47150,
2173.94,316.988,1289.38,µm,Spot,Position,1,47151,
2168.19,331.97,1290.58,µm,Spot,Position,1,47153,
2126.75,369.058,1340,µm,Spot,Position,1,47157,
2204.55,401.227,1282,µm,Spot,Position,1,47160,
2196.67,411.717,1282,µm,Spot,Position,1,47161,
2184.42,425.799,1282,µm,Spot,Position,1,47162,
1219.77,471.399,1305.64,µm,Spot,Position,1,47217,
1777.46,530.255,1315.36,µm,Spot,Position,1,47307,
1820.56,533.456,1282,µm,Spot,Position,1,47318,
1882.84,553.413,1282,µm,Spot,Position,1,47319,
1894.13,484.528,1320.79,µm,Spot,Position,1,47321,
1837.13,509.817,1325.12,µm,Spot,Position,1,47322,
1904.52,548.5,1327.82,µm,Spot,Position,1,47323,
2023.62,437.071,1282,µm,Spot,Position,1,47324,
2011.6,442.707,1288.2,µm,Spot,Position,1,47325,
1940.48,471.056,1288.66,µm,Spot,Position,1,47326,
2003.34,520.857,1292.23,µm,Spot,Position,1,47327,
1962.46,462.663,1299.21,µm,Spot,Position,1,47328,
1976.38,454.668,1310.87,µm,Spot,Position,1,47329,
2047.42,492.977,1323.33,µm,Spot,Position,1,47330,
2176.21,438.794,1286.71,µm,Spot,Position,1,47335,
1423.33,618.826,1291.77,µm,Spot,Position,1,47419,
1523.12,586.888,1282,µm,Spot,Position,1,47426,
1558.24,575.687,1329.18,µm,Spot,Position,1,47437,
1605.25,643.831,1282,µm,Spot,Position,1,47445,
1591.77,576.977,1298.63,µm,Spot,Position,1,47449,
1641.47,645.543,1343.52,µm,Spot,Position,1,47456,
1718.03,588.581,1326.43,µm,Spot,Position,1,47469,
1815.19,564.433,1324.7,µm,Spot,Position,1,47488,
1798.91,-530.424,1344.34,µm,Spot,Position,1,47855,
1779.86,-522.226,1358.79,µm,Spot,Position,1,47859,
1722.95,-502.461,1407.41,µm,Spot,Position,1,47865,
2232.35,-491.852,1393.55,µm,Spot,Position,1,47944,
2345.92,-489.053,1347.94,µm,Spot,Position,1,47948,
2329.26,-462.398,1355.73,µm,Spot,Position,1,47949,
2364.52,-456.364,1393.63,µm,Spot,Position,1,47961,
1443.32,-333.216,1377.54,µm,Spot,Position,1,48007,
1485.02,-365.91,1348.4,µm,Spot,Position,1,48019,
1506.03,-378.041,1377.87,µm,Spot,Position,1,48023,
1512.06,-381.491,1389.7,µm,Spot,Position,1,48026,
1399.57,-277.118,1386.3,µm,Spot,Position,1,48212,
1398.23,-284.781,1395.44,µm,Spot,Position,1,48216,
1387.05,-280.967,1403.31,µm,Spot,Position,1,48217,
1584.1,-84.5938,1402.32,µm,Spot,Position,1,48416,
1888.07,-91.9707,1349.69,µm,Spot,Position,1,48433,
1926.29,-85.1872,1358.09,µm,Spot,Position,1,48434,
1899.98,-89.6064,1367.42,µm,Spot,Position,1,48436,
1836.25,-65.2149,1367.66,µm,Spot,Position,1,48437,
1858.52,-87.3066,1374.82,µm,Spot,Position,1,48438,
1875.76,-83.1524,1374.55,µm,Spot,Position,1,48439,
1870.1,-112.622,1389.64,µm,Spot,Position,1,48440,
1866.93,-125.225,1393.65,µm,Spot,Position,1,48441,
1944.03,-69.3702,1344.62,µm,Spot,Position,1,48443,
1939.96,-86.0119,1353.83,µm,Spot,Position,1,48445,
1962.17,-84.6053,1357.46,µm,Spot,Position,1,48447,
1957.59,-114.979,1381.59,µm,Spot,Position,1,48450,
1978.1,-101.477,1382.26,µm,Spot,Position,1,48451,
1974,-54.4271,1382.96,µm,Spot,Position,1,48452,
1985.98,-109.136,1396.31,µm,Spot,Position,1,48453,
1962.95,-120.31,1401.73,µm,Spot,Position,1,48454,
1984.53,-136.911,1407.07,µm,Spot,Position,1,48457,
2142.87,-73.0465,1402.62,µm,Spot,Position,1,48467,
2127.63,-58.7573,1401.98,µm,Spot,Position,1,48468,
2257.63,-77.4005,1390.22,µm,Spot,Position,1,48483,
