
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
268.536,104.376,1370,µm,Spot,Position,1,0,
268.536,103.021,1385.74,µm,Spot,Position,1,1,
752.733,119.825,1370,µm,Spot,Position,1,2,
268.536,181.036,1370,µm,Spot,Position,1,3,
726.165,202.525,1370,µm,Spot,Position,1,4,
1558.97,225.969,1379.22,µm,Spot,Position,1,5,
315.847,268.808,1398.92,µm,Spot,Position,1,6,
626.722,285.978,1370,µm,Spot,Position,1,7,
666.178,261.766,1401.43,µm,Spot,Position,1,8,
675.339,251.397,1408.42,µm,Spot,Position,1,9,
949.247,357.805,1370,µm,Spot,Position,1,10,
993.761,328.926,1378.89,µm,Spot,Position,1,11,
1486.38,358.053,1401.41,µm,Spot,Position,1,12,
334.55,392.345,1370,µm,Spot,Position,1,13,
326.672,393.918,1418.98,µm,Spot,Position,1,14,
491.588,419.509,1393.51,µm,Spot,Position,1,15,
710.06,464.204,1386.36,µm,Spot,Position,1,16,
986.678,387.307,1370,µm,Spot,Position,1,17,
950.193,384.306,1377.99,µm,Spot,Position,1,18,
937.62,423.283,1405.04,µm,Spot,Position,1,19,
989.455,373.292,1410.88,µm,Spot,Position,1,20,
1007.74,393.032,1393.21,µm,Spot,Position,1,21,
1043.59,482.681,1394.63,µm,Spot,Position,1,22,
1052.09,482.898,1416.98,µm,Spot,Position,1,23,
1048.45,426.417,1421.58,µm,Spot,Position,1,24,
1055.6,433.317,1429.87,µm,Spot,Position,1,25,
1167.28,469.067,1370,µm,Spot,Position,1,26,
1177.94,416.699,1425.44,µm,Spot,Position,1,27,
1313.05,363.19,1404.97,µm,Spot,Position,1,28,
1495.15,376.39,1382.08,µm,Spot,Position,1,29,
1488.09,365.155,1398.7,µm,Spot,Position,1,30,
332.426,565.231,1389.82,µm,Spot,Position,1,31,
478.95,504.169,1375.48,µm,Spot,Position,1,32,
475.275,500.151,1385.54,µm,Spot,Position,1,33,
485.352,549.362,1419.22,µm,Spot,Position,1,34,
628.977,556.73,1370,µm,Spot,Position,1,35,
543.581,492.471,1377.46,µm,Spot,Position,1,36,
515.593,497.8,1421.08,µm,Spot,Position,1,37,
694.288,592.26,1406.84,µm,Spot,Position,1,38,
685.609,567.966,1415.53,µm,Spot,Position,1,39,
991.052,557.48,1374.03,µm,Spot,Position,1,40,
970.547,555.977,1389.41,µm,Spot,Position,1,41,
1019.23,544.026,1370,µm,Spot,Position,1,42,
1171.5,484.928,1370,µm,Spot,Position,1,43,
1179.85,602.906,1370,µm,Spot,Position,1,44,
1233.22,489.227,1373.43,µm,Spot,Position,1,45,
1119.03,551.294,1394.02,µm,Spot,Position,1,46,
