
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
486.013,488.242,1418,µm,Spot,Position,1,0,
421.943,451.655,1457.57,µm,Spot,Position,1,1,
414.588,468.902,1479.18,µm,Spot,Position,1,2,
627.573,385.624,1418,µm,Spot,Position,1,3,
631.182,470.734,1444.56,µm,Spot,Position,1,4,
721.971,395.116,1418,µm,Spot,Position,1,5,
658.952,494.512,1418,µm,Spot,Position,1,6,
682.426,500.182,1439.06,µm,Spot,Position,1,7,
667.131,415.025,1447.49,µm,Spot,Position,1,8,
695.417,393.045,1449.66,µm,Spot,Position,1,9,
809.919,418.975,1474.94,µm,Spot,Position,1,10,
955.762,466.303,1430.51,µm,Spot,Position,1,11,
948.12,449.719,1433.23,µm,Spot,Position,1,12,
1141.27,390.93,1418,µm,Spot,Position,1,13,
1196.01,405.612,1433.42,µm,Spot,Position,1,14,
1206.61,405.706,1443.34,µm,Spot,Position,1,15,
1246.12,385.624,1458.53,µm,Spot,Position,1,16,
1315.11,392.799,1418,µm,Spot,Position,1,17,
1366.7,417.612,1418,µm,Spot,Position,1,18,
1276.21,423.697,1418,µm,Spot,Position,1,19,
1358.59,414.478,1420.38,µm,Spot,Position,1,20,
1293.71,385.624,1435.5,µm,Spot,Position,1,21,
1272.91,385.624,1449.22,µm,Spot,Position,1,22,
1293.07,387.383,1462.32,µm,Spot,Position,1,23,
1254.98,428.091,1461.01,µm,Spot,Position,1,24,
1270.4,385.624,1479.06,µm,Spot,Position,1,25,
1385.79,414.721,1418,µm,Spot,Position,1,26,
1379.67,430.769,1421.74,µm,Spot,Position,1,27,
1390.15,444.783,1434.61,µm,Spot,Position,1,28,
1421.19,483.455,1461.93,µm,Spot,Position,1,29,
579.988,552.475,1418,µm,Spot,Position,1,30,
561.132,558.801,1426.95,µm,Spot,Position,1,31,
685.121,517.738,1418,µm,Spot,Position,1,32,
651.347,586.729,1418,µm,Spot,Position,1,33,
721.202,542.753,1466.29,µm,Spot,Position,1,34,
720.688,574.014,1470.08,µm,Spot,Position,1,35,
828.248,588.4,1446.44,µm,Spot,Position,1,36,
798.491,589.751,1451.76,µm,Spot,Position,1,37,
966.362,624.363,1418,µm,Spot,Position,1,38,
1058.99,570.011,1418,µm,Spot,Position,1,39,
1214.94,607.417,1440.47,µm,Spot,Position,1,40,
1351.18,589.039,1461.86,µm,Spot,Position,1,41,
607.205,677.998,1418,µm,Spot,Position,1,42,
580.881,698.631,1447.71,µm,Spot,Position,1,43,
699.551,670.34,1418,µm,Spot,Position,1,44,
663.855,714.282,1418,µm,Spot,Position,1,45,
696.541,693.525,1474.14,µm,Spot,Position,1,46,
933.77,690.551,1418,µm,Spot,Position,1,47,
1303.97,734.569,1460.7,µm,Spot,Position,1,48,
589.971,829.118,1442.27,µm,Spot,Position,1,49,
726.05,798.955,1418,µm,Spot,Position,1,50,
700.304,831.152,1418,µm,Spot,Position,1,51,
676.391,848.74,1418,µm,Spot,Position,1,52,
681.484,775.838,1431.5,µm,Spot,Position,1,53,
679.207,831.825,1434.43,µm,Spot,Position,1,54,
647.755,785.065,1470.62,µm,Spot,Position,1,55,
658.492,788.391,1470.63,µm,Spot,Position,1,56,
669.612,856.55,1473.61,µm,Spot,Position,1,57,
879.05,867.753,1418,µm,Spot,Position,1,58,
986.928,838.112,1418,µm,Spot,Position,1,59,
897.27,827.589,1434.21,µm,Spot,Position,1,60,
350.753,899.98,1418,µm,Spot,Position,1,61,
365.429,912.278,1418,µm,Spot,Position,1,62,
378.131,919.061,1418,µm,Spot,Position,1,63,
383.359,921.786,1475.58,µm,Spot,Position,1,64,
436.131,982.182,1430.96,µm,Spot,Position,1,65,
616.677,940.203,1418,µm,Spot,Position,1,66,
593.053,950.061,1440.79,µm,Spot,Position,1,67,
575.505,925.853,1461.37,µm,Spot,Position,1,68,
719.373,930.738,1421.09,µm,Spot,Position,1,69,
763.721,982.133,1424.56,µm,Spot,Position,1,70,
716.871,923.637,1459.55,µm,Spot,Position,1,71,
687.344,882.125,1466.76,µm,Spot,Position,1,72,
728.123,928.898,1469.99,µm,Spot,Position,1,73,
766.746,901.87,1418,µm,Spot,Position,1,74,
787.099,928.074,1418,µm,Spot,Position,1,75,
882.827,946.891,1420.65,µm,Spot,Position,1,76,
796.055,941.325,1464.6,µm,Spot,Position,1,77,
1023.07,884.081,1478.83,µm,Spot,Position,1,78,
357.993,1018.51,1418,µm,Spot,Position,1,79,
376.73,1109.36,1450.12,µm,Spot,Position,1,80,
361.371,997.951,1475.5,µm,Spot,Position,1,81,
382.121,1011.73,1474.83,µm,Spot,Position,1,82,
411.995,1090.75,1434.88,µm,Spot,Position,1,83,
408.144,1087.96,1479.49,µm,Spot,Position,1,84,
614.326,1001.75,1418,µm,Spot,Position,1,85,
571.904,1102.27,1427.47,µm,Spot,Position,1,86,
612.846,1081.51,1428.45,µm,Spot,Position,1,87,
603.869,1073.16,1460.78,µm,Spot,Position,1,88,
730.137,1047.02,1429.03,µm,Spot,Position,1,89,
