
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
400.823,439.673,1473.73,µm,Spot,Position,1,0,
457.806,450.509,1421.61,µm,Spot,Position,1,1,
491.955,494.448,1423.28,µm,Spot,Position,1,2,
448.963,448.177,1429.89,µm,Spot,Position,1,3,
441.624,456.919,1442.09,µm,Spot,Position,1,4,
483.987,499.804,1446.85,µm,Spot,Position,1,5,
416.3,444.482,1461.72,µm,Spot,Position,1,6,
431.627,474.508,1465.75,µm,Spot,Position,1,7,
629.527,421.245,1418,µm,Spot,Position,1,8,
607.381,385.624,1422.06,µm,Spot,Position,1,9,
619.466,385.624,1429.43,µm,Spot,Position,1,10,
643.079,446.746,1435.08,µm,Spot,Position,1,11,
596.478,385.624,1437.98,µm,Spot,Position,1,12,
625.051,445.808,1438.83,µm,Spot,Position,1,13,
614.263,440.406,1440.81,µm,Spot,Position,1,14,
592.011,449.128,1449.35,µm,Spot,Position,1,15,
641.372,471.391,1450.75,µm,Spot,Position,1,16,
595.56,385.624,1455.4,µm,Spot,Position,1,17,
587.153,439.4,1453.52,µm,Spot,Position,1,18,
607.447,395.241,1457,µm,Spot,Position,1,19,
580.346,422.543,1465.86,µm,Spot,Position,1,20,
637.623,476.292,1466.89,µm,Spot,Position,1,21,
580.576,385.624,1468.19,µm,Spot,Position,1,22,
601.201,403.572,1474.69,µm,Spot,Position,1,23,
607.704,454.508,1473.07,µm,Spot,Position,1,24,
588.545,458.367,1473.72,µm,Spot,Position,1,25,
580.917,424.483,1479.72,µm,Spot,Position,1,26,
752.952,428.681,1418,µm,Spot,Position,1,27,
714.162,471.244,1418,µm,Spot,Position,1,28,
671.679,478.206,1418,µm,Spot,Position,1,29,
703.745,490.985,1418,µm,Spot,Position,1,30,
662.503,476.995,1425.42,µm,Spot,Position,1,31,
705.369,392.239,1429.71,µm,Spot,Position,1,32,
758.314,420.771,1430.7,µm,Spot,Position,1,33,
655.692,406.902,1434.79,µm,Spot,Position,1,34,
729.709,426.028,1435.84,µm,Spot,Position,1,35,
707.58,432.433,1435.77,µm,Spot,Position,1,36,
749.623,458.203,1438.75,µm,Spot,Position,1,37,
651.527,474.417,1439.45,µm,Spot,Position,1,38,
762.115,403.831,1441.43,µm,Spot,Position,1,39,
712.48,458.732,1442.84,µm,Spot,Position,1,40,
687.595,391.117,1450.55,µm,Spot,Position,1,41,
763.82,496.101,1450.09,µm,Spot,Position,1,42,
706.542,435.051,1452.29,µm,Spot,Position,1,43,
698.785,406.432,1466.04,µm,Spot,Position,1,44,
750.379,493.777,1464.67,µm,Spot,Position,1,45,
660.27,498.6,1464.93,µm,Spot,Position,1,46,
682.541,418.403,1471.16,µm,Spot,Position,1,47,
650.232,493.616,1469.62,µm,Spot,Position,1,48,
712.915,452.622,1476.5,µm,Spot,Position,1,49,
650.888,503.346,1478.81,µm,Spot,Position,1,50,
