
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
1182.33,-754.24,312.67,µm,Spot,Position,1,860,
1175.36,-750.368,316.846,µm,Spot,Position,1,861,
1200.33,-769.013,321.311,µm,Spot,Position,1,862,
1318.95,-832.479,314.343,µm,Spot,Position,1,867,
1265.41,-821.445,330.415,µm,Spot,Position,1,869,
1254.59,-815.837,329.217,µm,Spot,Position,1,870,
1949.52,-750.221,324.754,µm,Spot,Position,1,932,
1166.55,-742.813,321.682,µm,Spot,Position,1,1012,
1941.83,-698.652,270,µm,Spot,Position,1,1153,
1940.49,-699.611,278.165,µm,Spot,Position,1,1165,
1424.25,-586.189,270,µm,Spot,Position,1,1300,
1778.28,-417.997,276.458,µm,Spot,Position,1,1555,
1765.46,-409.012,276.604,µm,Spot,Position,1,1556,
1740.16,-387.953,278.146,µm,Spot,Position,1,1557,
1792.82,-443.155,282.43,µm,Spot,Position,1,1560,
1753.65,-403.127,281.394,µm,Spot,Position,1,1561,
2304.22,-391.075,293.931,µm,Spot,Position,1,1614,
2291.32,-396.698,309.63,µm,Spot,Position,1,1617,
2306.02,-397.966,322.856,µm,Spot,Position,1,1623,
2290.61,-398.766,326.758,µm,Spot,Position,1,1626,
2392.67,-394.109,303.008,µm,Spot,Position,1,1627,
2398.93,-418.05,306.785,µm,Spot,Position,1,1628,
2409.69,-443.581,315.584,µm,Spot,Position,1,1629,
2427.64,-406.6,319.01,µm,Spot,Position,1,1630,
2393.47,-417.954,322.748,µm,Spot,Position,1,1631,
1709.22,-350.754,290.792,µm,Spot,Position,1,1652,
1731.53,-372.043,285.849,µm,Spot,Position,1,1663,
1725.23,-368.019,289.926,µm,Spot,Position,1,1665,
2052.99,-356.009,270,µm,Spot,Position,1,1692,
2064.86,-355.193,270,µm,Spot,Position,1,1693,
2081.74,-340.198,270,µm,Spot,Position,1,1694,
2066.83,-325.458,270,µm,Spot,Position,1,1695,
2003.24,-301.129,270,µm,Spot,Position,1,1696,
2039.3,-295.73,270,µm,Spot,Position,1,1697,
2057.41,-295.9,270,µm,Spot,Position,1,1698,
2040.47,-271.635,270,µm,Spot,Position,1,1699,
1997.9,-265.944,270,µm,Spot,Position,1,1700,
1977.25,-265.301,270,µm,Spot,Position,1,1701,
2021.98,-294.764,279.519,µm,Spot,Position,1,1702,
2074.39,-287.48,285.901,µm,Spot,Position,1,1703,
2023.07,-294.975,309.438,µm,Spot,Position,1,1705,
2074.69,-271.822,309.206,µm,Spot,Position,1,1706,
2051.46,-262.896,313.542,µm,Spot,Position,1,1707,
2111.39,-348.931,270,µm,Spot,Position,1,1709,
2087.29,-303.923,270,µm,Spot,Position,1,1712,
2090.19,-294.388,270,µm,Spot,Position,1,1713,
2104.8,-310.767,279.051,µm,Spot,Position,1,1716,
2094.13,-289.743,282.228,µm,Spot,Position,1,1718,
2082.38,-282.831,291.836,µm,Spot,Position,1,1722,
2083.6,-294.896,294.809,µm,Spot,Position,1,1725,
2099.5,-296.725,302.138,µm,Spot,Position,1,1727,
2134.94,-314.47,321.244,µm,Spot,Position,1,1732,
2363.05,-314.323,291.115,µm,Spot,Position,1,1746,
2387.01,-331.478,293.149,µm,Spot,Position,1,1747,
2341.7,-277.648,326.224,µm,Spot,Position,1,1748,
1270.22,-185.132,270,µm,Spot,Position,1,1749,
1279.37,-182.034,270,µm,Spot,Position,1,1750,
1283.02,-187.743,286.929,µm,Spot,Position,1,1751,
1291.91,-179.466,292.764,µm,Spot,Position,1,1752,
1286.9,-191.74,303.366,µm,Spot,Position,1,1753,
1293.71,-178.942,322.963,µm,Spot,Position,1,1754,
1244.35,-151.933,322.121,µm,Spot,Position,1,1755,
2026.44,-239.294,270,µm,Spot,Position,1,1863,
2064.6,-211.413,270,µm,Spot,Position,1,1864,
2080.86,-197.974,270,µm,Spot,Position,1,1865,
2037.93,-252.897,285.111,µm,Spot,Position,1,1866,
2023.19,-226.285,310.98,µm,Spot,Position,1,1868,
