
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
736.029,-825.162,179.133,µm,Spot,Position,1,0,
855.907,-751.997,179.055,µm,Spot,Position,1,1,
769.945,-821.999,189.579,µm,Spot,Position,1,2,
907.358,-795.44,191.159,µm,Spot,Position,1,3,
1092.98,-694.076,170.709,µm,Spot,Position,1,4,
1249.4,-245.663,185.204,µm,Spot,Position,1,5,
1402.73,-119.947,182.797,µm,Spot,Position,1,6,
689.586,-83.9214,187.545,µm,Spot,Position,1,7,
1223.39,-72.2056,175.559,µm,Spot,Position,1,8,
1185.16,-71.5519,174.226,µm,Spot,Position,1,9,
1206.44,-59.4537,172.435,µm,Spot,Position,1,10,
1176.4,-52.5183,179.422,µm,Spot,Position,1,11,
1126.21,-24.6706,179.34,µm,Spot,Position,1,12,
1152.62,-49.8342,181.374,µm,Spot,Position,1,13,
1113.79,-16.8415,190.674,µm,Spot,Position,1,14,
1286.75,-27.6821,176.691,µm,Spot,Position,1,15,
1279.14,-39.3796,182.515,µm,Spot,Position,1,16,
1045.49,75.8548,178.361,µm,Spot,Position,1,17,
1034.84,27.3118,185.534,µm,Spot,Position,1,18,
1107.22,50.6759,187.157,µm,Spot,Position,1,19,
1057.85,64.3063,189.667,µm,Spot,Position,1,20,
1141.87,24.7765,189.97,µm,Spot,Position,1,21,
704.234,219.395,175.264,µm,Spot,Position,1,22,
746.788,225.666,183.722,µm,Spot,Position,1,23,
671.863,222.981,188.777,µm,Spot,Position,1,24,
679.564,296.621,171.388,µm,Spot,Position,1,25,
913.46,348.238,170.573,µm,Spot,Position,1,26,
904.05,370.077,172.957,µm,Spot,Position,1,27,
667.214,464.695,171.002,µm,Spot,Position,1,28,
725.844,461.856,175.152,µm,Spot,Position,1,29,
914.841,374.415,191.257,µm,Spot,Position,1,30,
831.387,718.211,173.19,µm,Spot,Position,1,31,
841.363,678.387,179.04,µm,Spot,Position,1,32,
854.319,715.281,179.357,µm,Spot,Position,1,33,
869.192,720.723,182.195,µm,Spot,Position,1,34,
805.984,746.077,178.078,µm,Spot,Position,1,35,
872.536,822.355,171.124,µm,Spot,Position,1,36,
787.3,868.332,173.371,µm,Spot,Position,1,37,
881.141,858.867,173.726,µm,Spot,Position,1,38,
930.338,870.556,187.136,µm,Spot,Position,1,39,
1662.48,1337.62,186.232,µm,Spot,Position,1,40,
805.519,-847.573,250.803,µm,Spot,Position,1,41,
761.59,-824.878,210.066,µm,Spot,Position,1,42,
843.992,-814.401,226.042,µm,Spot,Position,1,43,
877.138,-761.491,200.615,µm,Spot,Position,1,44,
985.613,-716.163,212.71,µm,Spot,Position,1,45,
895.907,-832.687,217.533,µm,Spot,Position,1,46,
881.935,-815.455,248.744,µm,Spot,Position,1,47,
1059.78,-752.512,193.468,µm,Spot,Position,1,48,
1030.58,-727.153,206.828,µm,Spot,Position,1,49,
1000.05,-744.411,210.686,µm,Spot,Position,1,50,
1009.55,-731.208,226.341,µm,Spot,Position,1,51,
1000.19,-729.882,225.921,µm,Spot,Position,1,52,
1007.43,-724.705,230.665,µm,Spot,Position,1,53,
1030.82,-718.128,235.176,µm,Spot,Position,1,54,
1078.41,-769.159,238.179,µm,Spot,Position,1,55,
1053.25,-728.735,244.475,µm,Spot,Position,1,56,
1067,-751.207,249.333,µm,Spot,Position,1,57,
1112.46,-743.561,253.444,µm,Spot,Position,1,58,
1123.41,-766.583,243.064,µm,Spot,Position,1,59,
1135.67,-722.353,243.158,µm,Spot,Position,1,60,
861.521,-703.405,243.72,µm,Spot,Position,1,61,
959.344,-687.668,243.037,µm,Spot,Position,1,62,
1035.98,-706.362,221.658,µm,Spot,Position,1,63,
992.538,-704.718,228.631,µm,Spot,Position,1,64,
1013.74,-696.224,228.52,µm,Spot,Position,1,65,
1044.04,-705.066,233.471,µm,Spot,Position,1,66,
1064.4,-713.434,245.119,µm,Spot,Position,1,67,
1037.66,-710.966,250.142,µm,Spot,Position,1,68,
1038.63,-701.017,253.646,µm,Spot,Position,1,69,
1012.85,-422.633,198.248,µm,Spot,Position,1,70,
1438.88,-363.712,251.181,µm,Spot,Position,1,71,
1294.63,-310.028,195.208,µm,Spot,Position,1,72,
1389.32,-324.041,240.943,µm,Spot,Position,1,73,
714.84,-176.247,249.194,µm,Spot,Position,1,74,
699.513,-156.743,254.09,µm,Spot,Position,1,75,
771.416,-196.19,251.15,µm,Spot,Position,1,76,
784.519,-117.047,251.527,µm,Spot,Position,1,77,
1128.02,-134.78,211.427,µm,Spot,Position,1,78,
1220.01,-128.98,255.68,µm,Spot,Position,1,79,
1371.3,-128.924,193.321,µm,Spot,Position,1,80,
1401.81,-146.701,250.168,µm,Spot,Position,1,81,
727.312,-93.86,255.112,µm,Spot,Position,1,82,
764.086,-101.908,221.546,µm,Spot,Position,1,83,
824.852,-53.3966,221.567,µm,Spot,Position,1,84,
1101.43,2.26858,195.64,µm,Spot,Position,1,85,
1097.76,-14.1313,198.747,µm,Spot,Position,1,86,
1216.91,-82.7315,200.414,µm,Spot,Position,1,87,
1163.75,-88.4368,205.619,µm,Spot,Position,1,88,
1218.97,-40.8247,211.193,µm,Spot,Position,1,89,
1210.54,-102.57,242.361,µm,Spot,Position,1,90,
1241.48,-59.9815,193.251,µm,Spot,Position,1,91,
1234.3,-55.6665,193.825,µm,Spot,Position,1,92,
1260.03,-89.7751,203.427,µm,Spot,Position,1,93,
1303.44,-64.2156,208.525,µm,Spot,Position,1,94,
1271.26,-93.2926,236.028,µm,Spot,Position,1,95,
1328.36,-9.70091,254.938,µm,Spot,Position,1,96,
1387.07,-76.3115,209.51,µm,Spot,Position,1,97,
1413.23,-16.88,212.845,µm,Spot,Position,1,98,
1406.56,-12.259,214.661,µm,Spot,Position,1,99,
1407.5,-85.9891,217.984,µm,Spot,Position,1,100,
1392.43,-63.0848,220.108,µm,Spot,Position,1,101,
1423.9,-79.9071,230.758,µm,Spot,Position,1,102,
1429.6,-66.4101,233.708,µm,Spot,Position,1,103,
1437.49,-52.4714,242.665,µm,Spot,Position,1,104,
1482.79,-93.7383,245.868,µm,Spot,Position,1,105,
1487.06,-21.8628,254.591,µm,Spot,Position,1,106,
991.459,111.088,197.559,µm,Spot,Position,1,107,
1005.54,121.965,209.193,µm,Spot,Position,1,108,
1121.63,43.9492,198.413,µm,Spot,Position,1,109,
1117.52,62.809,217.893,µm,Spot,Position,1,110,
1165.54,26.7001,223.219,µm,Spot,Position,1,111,
1193.91,37.3567,223.151,µm,Spot,Position,1,112,
1150.79,23.4656,250.43,µm,Spot,Position,1,113,
1175.85,48.7921,254.361,µm,Spot,Position,1,114,
1305.57,84.2094,230.845,µm,Spot,Position,1,115,
1301.84,40.6167,244.593,µm,Spot,Position,1,116,
1408.44,51.3925,248.554,µm,Spot,Position,1,117,
1365.85,68.1956,253.199,µm,Spot,Position,1,118,
770.856,249.73,195.359,µm,Spot,Position,1,119,
856.419,167.251,212.854,µm,Spot,Position,1,120,
764.323,219.749,225.266,µm,Spot,Position,1,121,
815.918,244.378,224.844,µm,Spot,Position,1,122,
799.332,217.937,239.91,µm,Spot,Position,1,123,
816.505,210.332,245.267,µm,Spot,Position,1,124,
890.519,144.97,211.184,µm,Spot,Position,1,125,
935.701,131.517,215.806,µm,Spot,Position,1,126,
937.56,179.197,227.167,µm,Spot,Position,1,127,
917.34,174.077,237.972,µm,Spot,Position,1,128,
683.435,259.094,199.879,µm,Spot,Position,1,129,
730.807,286.48,202.993,µm,Spot,Position,1,130,
758.288,272.381,193.602,µm,Spot,Position,1,131,
807.229,370.44,214.49,µm,Spot,Position,1,132,
853.578,367.07,231.265,µm,Spot,Position,1,133,
924.473,355.8,223.265,µm,Spot,Position,1,134,
917.981,306.275,241.458,µm,Spot,Position,1,135,
913.815,318.312,240.515,µm,Spot,Position,1,136,
882.849,344.002,240.699,µm,Spot,Position,1,137,
934.276,302.934,244.898,µm,Spot,Position,1,138,
951.146,287.32,249.773,µm,Spot,Position,1,139,
860.945,462.344,192.074,µm,Spot,Position,1,140,
865.17,400.782,208.789,µm,Spot,Position,1,141,
790.771,422.269,214.392,µm,Spot,Position,1,142,
779.851,442.657,239.415,µm,Spot,Position,1,143,
889.313,418.914,201.027,µm,Spot,Position,1,144,
895.738,461.809,223.338,µm,Spot,Position,1,145,
944.183,461.795,223.184,µm,Spot,Position,1,146,
961.651,466.226,236.128,µm,Spot,Position,1,147,
1108.27,489.783,231.273,µm,Spot,Position,1,148,
873.846,607.669,225.588,µm,Spot,Position,1,149,
905.804,644.448,203.251,µm,Spot,Position,1,150,
881.625,717.313,209.711,µm,Spot,Position,1,151,
744.887,736.131,203.456,µm,Spot,Position,1,152,
679.315,751.507,204.162,µm,Spot,Position,1,153,
690.279,761.408,206.069,µm,Spot,Position,1,154,
679.196,743.876,209.23,µm,Spot,Position,1,155,
737.432,795.676,238.888,µm,Spot,Position,1,156,
738.478,816.016,255.629,µm,Spot,Position,1,157,
813.265,783.839,214.593,µm,Spot,Position,1,158,
882.702,780.118,196.073,µm,Spot,Position,1,159,
788.331,866.86,231.067,µm,Spot,Position,1,160,
789.542,882.031,242.639,µm,Spot,Position,1,161,
863.037,1158.45,238.056,µm,Spot,Position,1,162,
920.684,1145.48,216.96,µm,Spot,Position,1,163,
889.427,1150.36,222.28,µm,Spot,Position,1,164,
916.669,1202.9,239.932,µm,Spot,Position,1,165,
886.766,1187.26,242.463,µm,Spot,Position,1,166,
951.427,1148.07,252.386,µm,Spot,Position,1,167,
899.604,1314.97,207.425,µm,Spot,Position,1,168,
1294.22,1337.62,195.081,µm,Spot,Position,1,169,
1394.81,1330.41,203.288,µm,Spot,Position,1,170,
1394.19,1311.91,220.957,µm,Spot,Position,1,171,
1547.57,1251.52,198.943,µm,Spot,Position,1,172,
1563.36,1218.68,215.196,µm,Spot,Position,1,173,
740.708,-837.789,256.989,µm,Spot,Position,1,174,
834.01,-844.821,302.111,µm,Spot,Position,1,175,
709.459,-825.767,261.763,µm,Spot,Position,1,176,
949.589,-783.39,262.949,µm,Spot,Position,1,177,
939.693,-792.475,269.908,µm,Spot,Position,1,178,
983.109,-785.975,287.355,µm,Spot,Position,1,179,
957.417,-793.216,289.54,µm,Spot,Position,1,180,
983.149,-770.179,295.12,µm,Spot,Position,1,181,
984.856,-778.759,312.693,µm,Spot,Position,1,182,
1072.56,-734.949,256.492,µm,Spot,Position,1,183,
1103.59,-751.184,265.839,µm,Spot,Position,1,184,
1034.38,-758.111,269.175,µm,Spot,Position,1,185,
1061.33,-752.824,273.399,µm,Spot,Position,1,186,
1085.81,-736.919,283.151,µm,Spot,Position,1,187,
1081.74,-746.573,287.885,µm,Spot,Position,1,188,
1020.69,-765.664,288.949,µm,Spot,Position,1,189,
1004.57,-761.418,318.7,µm,Spot,Position,1,190,
1130.08,-752.976,286.874,µm,Spot,Position,1,191,
1156.39,-725.69,291.741,µm,Spot,Position,1,192,
1124.16,-743.666,303.716,µm,Spot,Position,1,193,
945.191,-685.771,267.665,µm,Spot,Position,1,194,
978.75,-679.126,290.564,µm,Spot,Position,1,195,
963.936,-677.668,288.249,µm,Spot,Position,1,196,
1022.4,-687.495,258.492,µm,Spot,Position,1,197,
1079.54,-687.744,263.578,µm,Spot,Position,1,198,
1093.86,-695.414,269.577,µm,Spot,Position,1,199,
1119.25,-706.916,268.917,µm,Spot,Position,1,200,
1217.53,-651.51,282.387,µm,Spot,Position,1,201,
1154.84,-707.801,306.567,µm,Spot,Position,1,202,
1679.68,-570.11,274.337,µm,Spot,Position,1,203,
1640.72,-584.209,293.817,µm,Spot,Position,1,204,
687.209,-419.836,310.503,µm,Spot,Position,1,205,
694.432,-430.187,315.634,µm,Spot,Position,1,206,
774.996,-420.465,310.79,µm,Spot,Position,1,207,
673.716,-304.598,291.132,µm,Spot,Position,1,208,
749.553,-292.887,317.788,µm,Spot,Position,1,209,
730.204,-246.52,317.917,µm,Spot,Position,1,210,
790.424,-337.494,319.966,µm,Spot,Position,1,211,
1484.31,-330.455,270.211,µm,Spot,Position,1,212,
725.509,-214.993,315.86,µm,Spot,Position,1,213,
765.885,-221.764,297.51,µm,Spot,Position,1,214,
