
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
780.65,-830.81,214.882,µm,Spot,Position,1,5,
776.124,-841.017,224.956,µm,Spot,Position,1,6,
862.048,-816.282,182,µm,Spot,Position,1,8,
903.217,-791.719,182,µm,Spot,Position,1,9,
878.988,-819.288,189.074,µm,Spot,Position,1,15,
807.241,-818.949,194.77,µm,Spot,Position,1,17,
878.768,-812.836,193.257,µm,Spot,Position,1,18,
811.678,-833.438,221.871,µm,Spot,Position,1,21,
901.727,-827.719,224.667,µm,Spot,Position,1,22,
855.61,-815.627,243.522,µm,Spot,Position,1,25,
1049.8,-730.396,197.032,µm,Spot,Position,1,28,
1052.59,-739.375,201.729,µm,Spot,Position,1,29,
1102.9,-741.304,236.65,µm,Spot,Position,1,30,
1005.94,-704.662,205.435,µm,Spot,Position,1,57,
1010,-699.665,213.826,µm,Spot,Position,1,61,
1035.62,-701.517,222.631,µm,Spot,Position,1,93,
1125.21,-686.554,226.77,µm,Spot,Position,1,95,
1091.89,-720.726,233.704,µm,Spot,Position,1,97,
791.748,-96.5732,182,µm,Spot,Position,1,1435,
708.373,-89.3821,185.656,µm,Spot,Position,1,1441,
790.093,-111.591,220.684,µm,Spot,Position,1,1444,
711.599,-71.7372,225.445,µm,Spot,Position,1,1446,
789.96,-116.22,240.832,µm,Spot,Position,1,1448,
793.266,-107.68,198.549,µm,Spot,Position,1,1450,
1185.8,-72.284,182,µm,Spot,Position,1,1533,
1181.52,-59.8647,182,µm,Spot,Position,1,1535,
1275.24,-52.3107,182,µm,Spot,Position,1,1536,
1180.68,-41.3045,182,µm,Spot,Position,1,1537,
1157.29,-92.4341,190.011,µm,Spot,Position,1,1538,
1183.08,-85.7794,194.816,µm,Spot,Position,1,1541,
1204.39,-40.5929,201.183,µm,Spot,Position,1,1542,
1155.58,-109.964,205.983,µm,Spot,Position,1,1543,
1263.84,-34.7074,216.029,µm,Spot,Position,1,1544,
1182.39,-107.509,229.425,µm,Spot,Position,1,1546,
1267.5,-42.118,236.888,µm,Spot,Position,1,1548,
1297.62,-44.154,182,µm,Spot,Position,1,1549,
1318.61,-38.1286,182,µm,Spot,Position,1,1550,
1295.31,-30.5099,182,µm,Spot,Position,1,1551,
1280.66,-64.8813,190.184,µm,Spot,Position,1,1552,
1319.59,-37.3138,189.857,µm,Spot,Position,1,1553,
1298.15,-8.99021,194.541,µm,Spot,Position,1,1554,
1318.07,-51.9102,197.013,µm,Spot,Position,1,1555,
1330.53,-21.3442,196.359,µm,Spot,Position,1,1556,
1313.42,-65.9517,202.586,µm,Spot,Position,1,1557,
1346.31,-27.0083,202.525,µm,Spot,Position,1,1558,
1300.01,-10.6692,206.416,µm,Spot,Position,1,1559,
1335.71,-64.9706,214.35,µm,Spot,Position,1,1560,
1313.68,-81.8803,222.903,µm,Spot,Position,1,1561,
1330.39,-72.4717,230.158,µm,Spot,Position,1,1562,
1392.49,-22.2439,235.631,µm,Spot,Position,1,1563,
1395.59,-112.945,239.674,µm,Spot,Position,1,1564,
1333.14,-73.0429,237.684,µm,Spot,Position,1,1565,
1353.67,-61.2304,237.236,µm,Spot,Position,1,1566,
1402.89,-13.8487,208.675,µm,Spot,Position,1,1567,
1478.16,-111.927,238.108,µm,Spot,Position,1,1568,
1016.19,102.025,198.028,µm,Spot,Position,1,1595,
1033.92,108.06,220.132,µm,Spot,Position,1,1599,
1142.15,23.5766,182,µm,Spot,Position,1,1603,
1062.76,36.3418,182,µm,Spot,Position,1,1605,
1063.09,49.0085,182,µm,Spot,Position,1,1606,
1041.33,81.9993,182,µm,Spot,Position,1,1607,
1147,26.1794,195.025,µm,Spot,Position,1,1609,
1034.89,39.87,210.271,µm,Spot,Position,1,1611,
1063.24,86.842,222.533,µm,Spot,Position,1,1612,
1041.73,51.6967,241.899,µm,Spot,Position,1,1615,
1190.29,24.197,238.49,µm,Spot,Position,1,1627,
1325.5,52.1926,230.774,µm,Spot,Position,1,1632,
724.027,220.003,182,µm,Spot,Position,1,1638,
712.465,227.155,182,µm,Spot,Position,1,1639,
718.325,227.589,190.177,µm,Spot,Position,1,1640,
779.02,222.815,194.546,µm,Spot,Position,1,1641,
749.389,220.892,206.569,µm,Spot,Position,1,1644,
772.546,221.565,217.701,µm,Spot,Position,1,1645,
826.974,175.291,194.915,µm,Spot,Position,1,1649,
793.468,216.605,211.756,µm,Spot,Position,1,1651,
806.37,240.352,210.397,µm,Spot,Position,1,1652,
812.832,238.89,214.718,µm,Spot,Position,1,1653,
837.33,188.468,242.186,µm,Spot,Position,1,1654,
824.266,219.048,242.715,µm,Spot,Position,1,1656,
994.667,131.264,209.832,µm,Spot,Position,1,1658,
951.381,153.818,209.755,µm,Spot,Position,1,1659,
977.45,147.207,212.881,µm,Spot,Position,1,1661,
959.909,161.328,230.203,µm,Spot,Position,1,1664,
752.877,269.364,182,µm,Spot,Position,1,1709,
747.344,295.354,190.869,µm,Spot,Position,1,1710,
773.921,276.231,197.411,µm,Spot,Position,1,1713,
785.712,272.878,202.32,µm,Spot,Position,1,1715,
765.087,291.107,200.8,µm,Spot,Position,1,1716,
833.477,268.569,230.267,µm,Spot,Position,1,1727,
842.856,260.511,234.729,µm,Spot,Position,1,1728,
854.423,252.761,242.82,µm,Spot,Position,1,1729,
756.641,420.355,189.803,µm,Spot,Position,1,1780,
768.422,440.051,209.588,µm,Spot,Position,1,1784,
788.551,450.887,234.426,µm,Spot,Position,1,1792,
879.682,421.124,184.915,µm,Spot,Position,1,1796,
928.065,413.666,197.679,µm,Spot,Position,1,1810,
919.556,414.581,196.245,µm,Spot,Position,1,1811,
741.828,490.927,182,µm,Spot,Position,1,1830,
801.261,484.3,197.685,µm,Spot,Position,1,1843,
865.246,509.052,234.779,µm,Spot,Position,1,1846,
745.076,724.342,182,µm,Spot,Position,1,1867,
942.758,647.591,233.057,µm,Spot,Position,1,1884,
763.172,805.877,203.332,µm,Spot,Position,1,1887,
750.745,742.634,211.229,µm,Spot,Position,1,1888,
768.895,806.107,209.383,µm,Spot,Position,1,1889,
748.773,810.163,211.257,µm,Spot,Position,1,1890,
751.487,816.995,211.375,µm,Spot,Position,1,1891,
755.535,823.089,210.318,µm,Spot,Position,1,1892,
791.225,798.663,212.646,µm,Spot,Position,1,1893,
672.284,802.168,236.151,µm,Spot,Position,1,1895,
739.705,747.817,241.777,µm,Spot,Position,1,1896,
741.163,809.487,240.303,µm,Spot,Position,1,1897,
822.488,737.71,182,µm,Spot,Position,1,1898,
822.972,747.62,182,µm,Spot,Position,1,1899,
827.518,765.138,182,µm,Spot,Position,1,1900,
832.022,783.92,195.111,µm,Spot,Position,1,1902,
810.017,786.332,202.217,µm,Spot,Position,1,1907,
805.846,806.38,225.971,µm,Spot,Position,1,1909,
784.396,858.117,228.679,µm,Spot,Position,1,1921,
785.039,870.656,237.451,µm,Spot,Position,1,1922,
870.74,1194.16,193.211,µm,Spot,Position,1,1981,
891.304,1181.22,235.396,µm,Spot,Position,1,1983,
924.63,1145.36,212.58,µm,Spot,Position,1,1991,
942.953,1145.38,243.493,µm,Spot,Position,1,1994,
1389.35,1313.02,226.59,µm,Spot,Position,1,2036,
1506,1282.36,182,µm,Spot,Position,1,2040,
1471.13,1286.91,205.956,µm,Spot,Position,1,2041,
1502.71,1278.37,217.757,µm,Spot,Position,1,2042,
1477.62,1284.58,217.33,µm,Spot,Position,1,2043,
884.029,-810.323,244.65,µm,Spot,Position,1,2060,
813.96,-844.657,268.287,µm,Spot,Position,1,2063,
817.141,-844.657,290.24,µm,Spot,Position,1,2066,
993.944,-779.09,278.765,µm,Spot,Position,1,2067,
966.263,-784.257,281.564,µm,Spot,Position,1,2068,
1007.56,-766.61,288.829,µm,Spot,Position,1,2070,
976.035,-777.381,306.93,µm,Spot,Position,1,2074,
1122.3,-755.876,251.274,µm,Spot,Position,1,2076,
1063.82,-749.701,249.58,µm,Spot,Position,1,2077,
1046.54,-754.014,252.498,µm,Spot,Position,1,2078,
1049.39,-769.313,271.847,µm,Spot,Position,1,2079,
1129.94,-753.747,274.929,µm,Spot,Position,1,2080,
1070.67,-762.457,276.536,µm,Spot,Position,1,2081,
1081.97,-748.834,284.499,µm,Spot,Position,1,2082,
1122.55,-742.669,305.177,µm,Spot,Position,1,2084,
1159.75,-759.812,297.702,µm,Spot,Position,1,2085,
985.156,-680.377,252.692,µm,Spot,Position,1,2109,
994.601,-681.03,256.228,µm,Spot,Position,1,2110,
1022.27,-674.07,262.121,µm,Spot,Position,1,2112,
1042.17,-695.916,247.182,µm,Spot,Position,1,2119,
1124.44,-700.781,251.086,µm,Spot,Position,1,2121,
1088.94,-703.948,282.772,µm,Spot,Position,1,2133,
1072.92,-698.168,286.879,µm,Spot,Position,1,2137,
